Email Text,Label
Click here to verify your bank account,phishing
Your account has been suspended,phishing
Win a free iPhone now,phishing
Urgent payment required,phishing
Meeting scheduled tomorrow,safe
Project report attached,safe
Happy birthday wishes,safe
Team meeting at 3 PM,safe
Congratulations! You won a lottery,phishing
Click here to claim your reward,phishing
Update your password immediately,phishing
Monthly salary credited,safe
Class starts at 9 AM,safe
Meeting invitation attached,safe
